xp_per_min,tower_damage,sen_placed,sen_destroyed,obs_placed,obs_destroyed,lh50,lh40,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,camps_stacked,buybacks,assists,match_id,start_time,win,hero_id,account_id,leaguename
471,380,30,3,25,2,107,70,44,24,1,139,6,570,9616,350,7,10,23974,9616,1,2,18,4971602368,1566037337,true,79,82262664,The International 2019
471,371,14,5,6,4,134,97,75,44,16,161,10,0,21947,358,7,8,15616,21947,0,2,15,4970995519,1566009762,false,25,89117038,The International 2019
468,46,5,3,4,4,77,49,38,21,11,153,8,0,21437,381,3,15,35387,21437,6,4,14,4968150000,1565868048,false,119,111030315,The International 2019
467,1413,41,5,24,9,53,45,21,7,4,79,0,270,13542,281,3,11,34845,13542,1,2,16,4971157392,1566019029,false,79,397462905,The International 2019
467,0,32,4,23,4,124,105,76,47,12,136,1,0,15669,369,8,12,24847,15669,0,2,14,4967893095,1565855348,true,5,87278757,The International 2019
465,173,35,15,24,13,48,31,24,11,7,65,2,1861,12273,363,4,4,17129,12273,2,1,19,4977648828,1566311764,true,84,91443418,The International 2019
463,0,32,7,17,2,20,18,13,12,2,21,1,0,10948,274,2,11,23505,10948,0,3,16,4980333085,1566456722,false,84,87278757,The International 2019
458,2031,28,14,31,7,122,94,49,22,4,275,4,0,19173,388,5,6,24479,19173,1,1,22,4971343154,1566027129,true,21,87382579,The International 2019
457,27,19,2,25,1,109,95,51,29,14,160,0,0,7959,274,3,16,31268,7959,17,1,20,4969187966,1565918294,true,79,119631156,The International 2019
452,359,2,1,1,1,223,171,147,118,54,283,9,0,37026,414,25,10,28130,37026,0,1,7,4981912277,1566537766,false,32,153836240,The International 2019
450,274,62,12,29,5,54,43,30,20,16,94,2,0,14923,315,7,7,23762,14923,0,2,29,4968150000,1565868048,true,103,94155156,The International 2019
449,92,67,5,34,8,190,112,72,50,13,351,5,0,27375,547,1,10,23080,27375,2,3,13,4971343154,1566027129,false,121,155494381,The International 2019
449,0,47,3,31,3,67,55,42,22,4,117,5,0,16218,278,2,11,35265,24779,1,3,21,4973040677,1566099119,false,23,82262664,The International 2019
446,3354,2,1,4,2,108,89,53,27,7,120,2,585,21261,327,6,8,27525,21261,2,2,25,4969402562,1565935098,true,19,157989498,The International 2019
446,1028,6,1,5,2,168,131,89,66,10,177,3,0,14926,296,14,10,16352,14926,1,3,11,4968187584,1565869570,false,27,102099826,The International 2019
446,0,9,1,4,1,61,46,30,19,1,66,3,0,11958,242,1,4,12544,11958,0,1,16,4978587076,1566367475,true,7,89117038,The International 2019
445,1604,38,7,20,6,47,37,26,19,10,60,3,6109,15871,233,1,6,15549,15871,6,2,12,4977648828,1566311764,false,37,117421467,The International 2019
441,157,4,2,7,2,91,74,39,19,10,114,3,240,21234,340,4,13,32630,21234,4,4,13,4977648828,1566311764,false,107,111030315,The International 2019
437,63,46,5,23,2,144,85,64,36,7,151,1,0,14896,379,2,11,16313,14896,6,2,12,4967996576,1565860744,false,5,6922000,The International 2019
433,298,21,6,23,1,55,48,32,10,1,61,2,0,11103,291,3,8,30051,11103,1,2,16,4971219200,1566021957,false,62,87382579,The International 2019
427,0,60,14,33,7,54,36,22,12,8,83,3,5605,24807,347,3,12,26922,24807,8,3,29,4968150000,1565868048,false,68,117421467,The International 2019
425,45,51,15,28,7,42,30,19,19,2,83,1,1200,17414,364,3,5,12946,17414,6,2,34,4976922218,1566279195,true,68,173476224,The International 2019
423,505,29,13,29,8,66,53,24,14,7,106,6,407,20682,313,1,8,26748,20682,7,2,22,4969319314,1565929468,false,103,94296097,The International 2019
414,0,44,15,26,10,30,23,19,9,5,44,3,0,10197,296,2,7,15545,10197,4,1,20,4969752692,1565953082,false,26,143693439,The International 2019
